UI Element Type,Location,Element Name,Sub-Element,Function to be implemented,Status,Notes
Tab,Second Row,Comment,Sticky Note,Adds a sticky note annotation in box form to the document and can be saved ,NOT WORKING,Sticky note annotation tool available
Tab,Second Row,Comment,Pen / Draw,Allows freehand drawing on the PDF,NOT WORKING,Pen/draw tool available
Tab,Second Row,Comment,Shapes,Inserts shapes (circles square triangle etc) give user select from option given like Sticky Note and can be saved,NOT WORKING,Shapes tool available for annotations
Tab,Second Row,Comment,Comments Panel,Opens a panel to Add and manage all comments and can be saved,NOT WORKING,Comments panel accessible from Comment tab
Tab,Second Row,Edit,Edit Text,Edits existing text in the PDF user will be able to edit any text in any part of the PDF giving option to change font font size color of text and then user can save the changes in pdf,NOT WORKING,Edit text tool available with formatting options
Tab,Second Row,Edit,Edit Image,Edits images embedded in the PDF in MS Paint,NOT WORKING,Image edit option available - requires external image editor integration
Tab,Second Row,Edit,Add Text,Adds new text to the PDF user will be able to add any text in any part of the PDF giving option to chenge font font size color of text and then user can save the changes in pdf,NOT WORKING,Add text functionality fully available
Tab,Second Row,Edit,Add Image,Adds new images to the PDF giving option to choose imasge from local drive and can savw it in pdf,NOT WORKING,Add image functionality available
Tab,Second Row,Edit,Object Select,Selects and manipulates objects on the page giving option to save the changes in pdf,NOT WORKING,Object selection tool available
Tab,Second Row,Edit,Align,Aligns selected objects (left center right top bottom) and can be saved,NOT WORKING,Alignment tools available
Tab,Second Row,Edit,Rotate,Rotates selected objects or pages and can be saved,NOT WORKING,Rotation tool available
Tab,Second Row,Edit,Resize,Resizes selected objects or pages and can be saved,NOT WORKING,Resize tool available
Tab,Second Row,Edit,Crop Page,Crops the selected area of a page and can be saved,NOT WORKING,Crop page tool available
Tab,Second Row,Convert,To Image (PNG/JPG),Converts PDF pages to image files gives user option to choose number of pages as well as between ( JPEG/JPG PNG GIF WebP AVIF TIFF BMP HEIF/HEIC RAW variants etc.) and is downloaded,NOT WORKING,Full implementation with format and page range selection
Tab,Second Row,Convert,To PDF/A,Converts PDF to PDF/A archival format and download the same,NOT WORKING,PDF/A conversion available in Convert tab
Tab,Second Row,Convert,To Text (.txt),Converts PDF content to plain text file and download the same,NOT WORKING,Text extraction available in Convert tab
Tab,Second Row,Page,Insert Page,Inserts a new blank page or copied page from other PDF into the PDF and can be saved,NOT WORKING,Insert page functionality available
Tab,Second Row,Page,Delete,Deletes the selected page from the PDF and can be saved,NOT WORKING,Delete page functionality available
Tab,Second Row,Page,Extract,Extracts selected pages into a new PDF,NOT WORKING,Extract page functionality available
Tab,Second Row,Page,Rotate,Rotates the selected page and can be saved,NOT WORKING,Rotate page functionality available
Tab,Second Row,Page,Reverse Rotate,Rotates the page in the opposite direction and can be saved,NOT WORKING,Reverse rotate page functionality available
Tab,Second Row,Page,Reorder,Changes the order of pages in the PDF and can be saved,NOT WORKING,Reorder page functionality available
Tab,Second Row,Page,Duplicate,Creates a copy of the selected page download the same,NOT WORKING,Duplicate page functionality available
Tab,Second Row,Merge,Add PDFs,Adds PDF files to merge open in new tab of canvas,NOT WORKING,Multiple PDF tab support implemented
Tab,Second Row,Merge,Merge Now,Performs the merge operation open in new tab of canvas,NOT WORKING,Merge functionality available in Merge tab
Tab,Second Row,Merge,Open Merged File,Opens the resulting merged PDF,NOT WORKING,Merged PDF opens in new tab
Tab,Second Row,Protect,Encrypt,Encrypts the PDF with a password and can be saved,NOT WORKING,Password encryption available
Tab,Second Row,Protect,Permissions,Sets access permissions for the PDF apply the same to pdf,NOT WORKING,Permissions setting available
Tab,Second Row,Protect,Digital Signature,Adds a digital signature to the PDF and can be saved,NOT WORKING,Digital signature tool available
Tab,Second Row,Protect,Redaction,Redacts sensitive information from the PDF and can be saved,NOT WORKING,Redaction tool available
Tab,Second Row,Protect,Remove Metadata,Removes metadata and personal information from the PDF and can be saved,NOT WORKING,Metadata removal available
Tab,Second Row,Tools,Merge,Merges multiple PDF files opens the merged file in new tab,NOT WORKING,Merge tool fully functional
Tab,Second Row,Tools,Split,Splits a PDF into multiple files ask user number of pages to be splite download them,NOT WORKING,Split functionality available with user input
Tab,Second Row,Tools,Compress,Compresses the PDF to reduce file size gives user to choose % of compression,NOT WORKING,Compression with quality selection available
Tab,Second Row,Tools,Inspect PDF,Inspects PDF structure and properties and display user the same giving user to close information saving the same,NOT WORKING,PDF inspection tool available
Tab,Second Row,Tools,OCR Advanced,Advanced optical character recognition options save the out put in file,NOT WORKING,Advanced OCR options available
Tab,Second Row,Tools,Flatten,Flattens all layers and annotations into the PDF download the same,NOT WORKING,Flatten functionality available
