UI Element Type,Location,Element Name,Sub-Element,Function to be implemented,Icon/Symbol,,
Tab,Second Row,Page,Delete,Deletes the selected page from the PDF and can be saved,,,
Tab,Second Row,Page,Extract,Extracts selected pages into a new PDF,,,
Tab,Second Row,Page,Rotate,Rotates the selected page and can be saved,,,
Tab,Second Row,Page,Reverse Rotate,Rotates the page in the opposite direction and can be saved,,,
Tab,Second Row,Page,Reorder,Changes the order of pages in the PDF and can be saved,,,
Tab,Second Row,Page,Duplicate,Creates a copy of the selected page download the same,,,
Tab,Second Row,Merge,Add PDFs,Adds PDF files to merge open in new tab of canvas,,,
Tab,Second Row,Merge,Merge Now,Performs the merge operation open in new tab of canvas,,,
Tab,Second Row,Merge,Open Merged File,Opens the resulting merged PDF,,,
Tab,Second Row,Protect,Encrypt,Encrypts the PDF with a password and can be saved,,,
Tab,Second Row,Protect,Permissions,Sets access permissions for the PDF apply the same to pdf,,,
Tab,Second Row,Protect,Digital Signature,Adds a digital signature to the PDF and can be saved,,,
Tab,Second Row,Protect,Redaction,Redacts sensitive information from the PDF and can be saved,,,
Tab,Second Row,Protect,Remove Metadata,Removes metadata and personal information from the PDF and can be saved,,,
Tab,Second Row,Tools,Merge,Merges multiple PDF files opens the merged file in new tab,,,
Tab,Second Row,Tools,Split,Splits a PDF into multiple files ask user number of pages to be splite download them,,,
Tab,Second Row,Tools,Compress,Compresses the PDF to reduce file size gives user to choose % of compression,,,
Tab,Second Row,Tools,Inspect PDF,Inspects PDF structure and properties and display user the same giving user to close information saving the same,,,
Tab,Second Row,Tools,OCR Advanced,Advanced optical character recognition options save the out put in file,,,
Tab,Second Row,Tools,Flatten,Flattens all layers and annotations into the PDF download the same,,,
